modulus,arch,seed,weight_decay,learning_rate,train_fraction,batch_size,steps_per_epoch,budget_epochs,grokking_threshold,grokking_epoch,is_censored,n_train,n_val,n_logged_examples,checkpoint_every,n_checkpoints,final_val_acc,trace_path,notes
113,noskip,2,1.0,0.001,0.45,5746,1,40000,90.0,2100,False,5746,7023,2000,20,158,99.97152090072632,data\phase2_traces_v2\trace_noskip_p113_s2.npz,grokked at epoch 2100; logged to 3140
59,deep,0,1.0,0.001,0.45,1566,1,60000,90.0,3920,False,1566,1915,1566,20,295,99.84334111213684,data\phase2_traces_v2\trace_deep_p59_s0.npz,grokked at epoch 3920; logged to 5880
59,deep,1,1.0,0.001,0.45,1566,1,60000,90.0,8600,False,1566,1915,1566,20,646,100.0,data\phase2_traces_v2\trace_deep_p59_s1.npz,grokked at epoch 8600; logged to 12900
59,deep,2,1.0,0.001,0.45,1566,1,60000,90.0,5140,False,1566,1915,1566,20,386,96.81462049484253,data\phase2_traces_v2\trace_deep_p59_s2.npz,grokked at epoch 5140; logged to 7700
97,deep,0,1.0,0.001,0.45,4234,1,60000,90.0,5040,False,4234,5175,2000,20,379,100.0,data\phase2_traces_v2\trace_deep_p97_s0.npz,grokked at epoch 5040; logged to 7560
97,deep,1,1.0,0.001,0.45,4234,1,60000,90.0,2800,False,4234,5175,2000,20,211,100.0,data\phase2_traces_v2\trace_deep_p97_s1.npz,grokked at epoch 2800; logged to 4200
97,deep,2,1.0,0.001,0.45,4234,1,60000,90.0,3400,False,4234,5175,2000,20,256,100.0,data\phase2_traces_v2\trace_deep_p97_s2.npz,grokked at epoch 3400; logged to 5100
113,deep,0,1.0,0.001,0.45,5746,1,60000,90.0,3380,False,5746,7023,2000,20,254,100.0,data\phase2_traces_v2\trace_deep_p113_s0.npz,grokked at epoch 3380; logged to 5060
113,deep,1,1.0,0.001,0.45,5746,1,60000,90.0,3240,False,5746,7023,2000,20,244,100.0,data\phase2_traces_v2\trace_deep_p113_s1.npz,grokked at epoch 3240; logged to 4860
113,deep,2,1.0,0.001,0.45,5746,1,60000,90.0,3160,False,5746,7023,2000,20,238,100.0,data\phase2_traces_v2\trace_deep_p113_s2.npz,grokked at epoch 3160; logged to 4740
59,deep5,0,1.0,0.001,0.45,1566,1,80000,90.0,36220,False,1566,1915,1566,20,2717,100.0,data\phase2_traces_v2\trace_deep5_p59_s0.npz,grokked at epoch 36220; logged to 54320
59,deep5,1,1.0,0.001,0.45,1566,1,80000,90.0,,True,1566,1915,1566,20,4001,34.046998620033264,data\phase2_traces_v2\trace_deep5_p59_s1.npz,CENSORED: reached budget_epochs without grokking
59,deep5,2,1.0,0.001,0.45,1566,1,80000,90.0,,True,1566,1915,1566,20,4001,53.68146300315857,data\phase2_traces_v2\trace_deep5_p59_s2.npz,CENSORED: reached budget_epochs without grokking
97,deep5,0,1.0,0.001,0.45,4234,1,80000,90.0,29920,False,4234,5175,2000,20,2245,100.0,data\phase2_traces_v2\trace_deep5_p97_s0.npz,grokked at epoch 29920; logged to 44880
97,deep5,1,1.0,0.001,0.45,4234,1,80000,90.0,,True,4234,5175,2000,20,4001,32.270532846450806,data\phase2_traces_v2\trace_deep5_p97_s1.npz,CENSORED: reached budget_epochs without grokking
97,deep5,2,1.0,0.001,0.45,4234,1,80000,90.0,11720,False,4234,5175,2000,20,880,100.0,data\phase2_traces_v2\trace_deep5_p97_s2.npz,grokked at epoch 11720; logged to 17580
113,deep5,0,1.0,0.001,0.45,5746,1,80000,90.0,,True,5746,7023,2000,20,4001,11.23451516032219,data\phase2_traces_v2\trace_deep5_p113_s0.npz,CENSORED: reached budget_epochs without grokking
113,deep5,1,1.0,0.001,0.45,5746,1,80000,90.0,22420,False,5746,7023,2000,20,1682,100.0,data\phase2_traces_v2\trace_deep5_p113_s1.npz,grokked at epoch 22420; logged to 33620
113,deep5,2,1.0,0.001,0.45,5746,1,80000,90.0,50060,False,5746,7023,2000,20,3755,99.25957322120667,data\phase2_traces_v2\trace_deep5_p113_s2.npz,grokked at epoch 50060; logged to 75080
59,deepnarrow,0,1.0,0.001,0.45,1566,1,60000,90.0,4940,False,1566,1915,1566,20,371,100.0,data\phase2_traces_v2\trace_deepnarrow_p59_s0.npz,grokked at epoch 4940; logged to 7400
59,deepnarrow,1,1.0,0.001,0.45,1566,1,60000,90.0,7220,False,1566,1915,1566,20,542,100.0,data\phase2_traces_v2\trace_deepnarrow_p59_s1.npz,grokked at epoch 7220; logged to 10820
59,deepnarrow,2,1.0,0.001,0.45,1566,1,60000,90.0,10020,False,1566,1915,1566,20,752,100.0,data\phase2_traces_v2\trace_deepnarrow_p59_s2.npz,grokked at epoch 10020; logged to 15020
97,deepnarrow,0,1.0,0.001,0.45,4234,1,60000,90.0,17320,False,4234,5175,2000,20,1300,100.0,data\phase2_traces_v2\trace_deepnarrow_p97_s0.npz,grokked at epoch 17320; logged to 25980
97,deepnarrow,1,1.0,0.001,0.45,4234,1,60000,90.0,11600,False,4234,5175,2000,20,871,100.0,data\phase2_traces_v2\trace_deepnarrow_p97_s1.npz,grokked at epoch 11600; logged to 17400
97,deepnarrow,2,1.0,0.001,0.45,4234,1,60000,90.0,3760,False,4234,5175,2000,20,283,100.0,data\phase2_traces_v2\trace_deepnarrow_p97_s2.npz,grokked at epoch 3760; logged to 5640
113,deepnarrow,0,1.0,0.001,0.45,5746,1,60000,90.0,11300,False,5746,7023,2000,20,848,100.0,data\phase2_traces_v2\trace_deepnarrow_p113_s0.npz,grokked at epoch 11300; logged to 16940
113,deepnarrow,1,1.0,0.001,0.45,5746,1,60000,90.0,,True,5746,7023,2000,20,3001,0.4271678626537323,data\phase2_traces_v2\trace_deepnarrow_p113_s1.npz,CENSORED: reached budget_epochs without grokking
113,deepnarrow,2,1.0,0.001,0.45,5746,1,60000,90.0,15240,False,5746,7023,2000,20,1144,100.0,data\phase2_traces_v2\trace_deepnarrow_p113_s2.npz,grokked at epoch 15240; logged to 22860
