lever,ic_level,value,expected_harm,mean_intervention
SC,0.5,0.05,0.06863568109702334,0.2747669667888857
PC,0.5,0.1,0.08888995117614727,0.3558628915696769
SC,0.5,0.1,0.06806424401015149,0.2724789939894276
PC,0.5,0.15000000000000002,0.08571530069352597,0.3431519315726876
SC,0.5,0.15000000000000002,0.06749280692327966,0.2701910211899695
PC,0.5,0.2,0.08254065021090466,0.3304409715756984
SC,0.5,0.2,0.06692136983640783,0.2679030483905115
PC,0.5,0.25,0.07936599972828336,0.31773001157870917
SC,0.5,0.25,0.06634993274953599,0.26561507559105346
PC,0.5,0.30000000000000004,0.07619134924566204,0.30501905158172
SC,0.5,0.30000000000000004,0.06577849566266415,0.2633271027915954
PC,0.5,0.35000000000000003,0.07301669876304073,0.2923080915847308
SC,0.5,0.35000000000000003,0.06520705857579231,0.2610391299921373
PC,0.5,0.4,0.06984204828041943,0.27959713158774163
SC,0.5,0.4,0.06463562148892048,0.2587511571926792
PC,0.5,0.45,0.06666739779779811,0.26688617159075234
SC,0.5,0.45,0.06406418440204865,0.2564631843932212
PC,0.5,0.5,0.0634927473151768,0.2541752115937631
SC,0.5,0.5,0.0634927473151768,0.2541752115937631
PC,0.5,0.55,0.06031809683255549,0.2414642515967739
SC,0.5,0.55,0.06292131022830498,0.2518872387943051
PC,0.5,0.6000000000000001,0.057143446349934186,0.22875329159978464
SC,0.5,0.6000000000000001,0.06234987314143313,0.249599265994847
PC,0.5,0.65,0.053968795867312874,0.21604233160279554
SC,0.5,0.65,0.0617784360545613,0.24731129319538897
PC,0.5,0.7000000000000001,0.05079414538469156,0.20333137160580628
SC,0.5,0.7000000000000001,0.06120699896768946,0.24502332039593086
PC,0.5,0.75,0.04761949490207026,0.19062041160881704
SC,0.5,0.75,0.06063556188081763,0.24273534759647286
PC,0.5,0.8,0.044444844419448945,0.17790945161182783
SC,0.5,0.8,0.060064124793945795,0.24044737479701478
PC,0.5,0.8500000000000001,0.041270193936827626,0.1651984916148386
SC,0.5,0.8500000000000001,0.05949268770707396,0.2381594019975567
PC,0.5,0.9,0.038095543454206335,0.15248753161784945
SC,0.5,0.9,0.05892125062020212,0.23587142919809867
PC,0.5,0.9500000000000001,0.034920892971585016,0.13977657162086018
SC,0.5,0.9500000000000001,0.05834981353333028,0.23358345639864062
PC,0.5,1.0,0.03174624248896371,0.12706561162387098
SC,0.5,1.0,0.05777837644645845,0.23129548359918256
PC,0.85,0.0,0.08590577972248326,0.34391458917250695
SC,0.85,0.0,0.05987364576498851,0.23968471719719542
PC,0.85,0.05,0.08273112923986195,0.3312036291755179
SC,0.85,0.05,0.059302208678116676,0.23739674439773734
PC,0.85,0.1,0.07955647875724063,0.31849266917852853
SC,0.85,0.1,0.05873077159124484,0.2351087715982793
PC,0.85,0.15000000000000002,0.07638182827461933,0.30578170918153935
SC,0.85,0.15000000000000002,0.05815933450437301,0.23282079879882128
PC,0.85,0.2,0.07320717779199801,0.2930707491845501
SC,0.85,0.2,0.05758789741750117,0.2305328259993632
PC,0.85,0.25,0.07003252730937669,0.2803597891875609
SC,0.85,0.25,0.05701646033062934,0.2282448531999052
PC,0.85,0.30000000000000004,0.06685787682675538,0.2676488291905717
SC,0.85,0.30000000000000004,0.0564450232437575,0.22595688040044704
PC,0.85,0.35000000000000003,0.06368322634413408,0.25493786919358247
SC,0.85,0.35000000000000003,0.05587358615688567,0.22366890760098904
PC,0.85,0.4,0.06050857586151277,0.24222690919659326
SC,0.85,0.4,0.05530214907001382,0.22138093480153095
PC,0.85,0.45,0.05733392537889146,0.22951594919960408
SC,0.85,0.45,0.05473071198314199,0.21909296200207293
PC,0.85,0.5,0.054159274896270156,0.21680498920261482
SC,0.85,0.5,0.054159274896270156,0.21680498920261482
PC,0.85,0.55,0.05098462441364884,0.20409402920562558
SC,0.85,0.55,0.05358783780939832,0.21451701640315682
PC,0.85,0.6000000000000001,0.047809973931027525,0.19138306920863637
SC,0.85,0.6000000000000001,0.05301640072252649,0.21222904360369874
PC,0.85,0.65,0.044635323448406226,0.1786721092116472
SC,0.85,0.65,0.05244496363565466,0.2099410708042407
PC,0.85,0.7000000000000001,0.04146067296578492,0.165961149214658
SC,0.85,0.7000000000000001,0.05187352654878282,0.20765309800478265
PC,0.85,0.75,0.03828602248316361,0.15325018921766875
SC,0.85,0.75,0.05130208946191097,0.20536512520532452
PC,0.85,0.8,0.03511137200054229,0.14053922922067955
SC,0.85,0.8,0.050730652375039154,0.20307715240586652
PC,0.85,0.8500000000000001,0.031936721517920985,0.1278282692236903
SC,0.85,0.8500000000000001,0.05015921528816731,0.20078917960640844
PC,0.85,0.9,0.028762071035299677,0.11511730922670114
SC,0.85,0.9,0.04958777820129546,0.19850120680695035
PC,0.85,0.9500000000000001,0.025587420552678368,0.10240634922971191
SC,0.85,0.9500000000000001,0.04901634111442363,0.19621323400749227
PC,0.85,1.0,0.02241277007005706,0.0896953892327227
SC,0.85,1.0,0.048444904027551805,0.19392526120803427
