ic_level,marker_clarity,phen_caution,mean_intervention,expected_harm,disturbance_rate,excavation_rate,avoidance_rate,mean_caution,mean_curiosity
0.15,0.0,0.0,0.4415347619493841,0.11028709542901492,0.04579,0.00013,0.05321,0.13169576299892077,0.5081478342000257
0.15,0.0,0.041666666666666664,0.43094229528522643,0.10764155336016382,0.03483,3e-05,0.0604,0.1525290963322541,0.5081478342000257
0.15,0.0,0.08333333333333333,0.42034982862106873,0.10499601129131274,0.02538,0.0,0.0682,0.1733624296655874,0.5081478342000257
0.15,0.0,0.125,0.40975736195691104,0.10235046922246165,0.01758,0.0,0.07769,0.19419576299892077,0.5081478342000257
0.15,0.0,0.16666666666666666,0.39916489529275334,0.09970492715361054,0.01166,0.0,0.08793,0.21502909633225412,0.5081478342000257
0.15,0.0,0.20833333333333331,0.38857242862859576,0.09705938508475945,0.0071,0.0,0.09873,0.2358624296655874,0.5081478342000257
0.15,0.0,0.25,0.3779799619644381,0.09441384301590836,0.00426,0.0,0.11248,0.2566957629989208,0.5081478342000257
0.15,0.0,0.29166666666666663,0.36738749530028036,0.09176830094705726,0.00247,0.0,0.12816,0.2775290963322541,0.5081478342000257
0.15,0.0,0.3333333333333333,0.3567950286361227,0.08912275887820618,0.00141,0.0,0.14552,0.2983624296655874,0.5081478342000257
0.15,0.0,0.375,0.34620256197196503,0.08647721680935509,0.00069,0.0,0.16525,0.3191957629989208,0.5081478342000257
0.15,0.0,0.41666666666666663,0.33561009530780733,0.083831674740504,0.00029,0.0,0.1883,0.34002909633225403,0.5081478342000257
0.15,0.0,0.4583333333333333,0.3250176286436497,0.08118613267165291,0.0001,0.0,0.21447,0.3608624296655874,0.5081478342000257
0.15,0.0,0.5,0.31442516197949205,0.07854059060280182,0.0,0.0,0.24461,0.3816957629989208,0.5081478342000257
0.15,0.0,0.5416666666666666,0.3038326953153343,0.07589504853395072,0.0,0.0,0.27837,0.40252909633225414,0.5081478342000257
0.15,0.0,0.5833333333333333,0.2932402286511767,0.07324950646509965,0.0,0.0,0.31659,0.4233624296655874,0.5081478342000257
0.15,0.0,0.625,0.28264776198701896,0.07060396439624854,0.0,0.0,0.35965,0.4441957629989208,0.5081478342000257
0.15,0.0,0.6666666666666666,0.27205529532286127,0.06795842232739745,0.0,0.0,0.406,0.46502909633225414,0.5081478342000257
0.15,0.0,0.7083333333333333,0.2614628286587037,0.06531288025854637,0.0,0.0,0.45759,0.4858624296655874,0.5081478342000257
0.15,0.0,0.75,0.250870361994546,0.06266733818969528,0.0,0.0,0.5138,0.5066957629989207,0.5081478342000257
0.15,0.0,0.7916666666666666,0.24027789533038826,0.06002179612084418,0.0,0.0,0.57236,0.5275290963322541,0.5081478342000257
0.15,0.0,0.8333333333333333,0.22968542866623062,0.05737625405199309,0.0,0.0,0.63196,0.5483624296655875,0.5081478342000257
0.15,0.0,0.875,0.21909296200207293,0.05473071198314199,0.0,0.0,0.69304,0.5691957629989207,0.5081478342000257
0.15,0.0,0.9166666666666666,0.2085004953379152,0.052085169914290894,0.0,0.0,0.75132,0.5900290963322541,0.5081478342000257
0.15,0.0,0.9583333333333333,0.1979080286737576,0.04943962784543983,0.0,0.0,0.80503,0.6108624296655875,0.5081478342000257
0.15,0.0,1.0,0.1873155620095999,0.046794085776588716,0.0,0.0,0.85159,0.6316957629989207,0.5081478342000257
0.15,0.041666666666666664,0.0,0.43962811794983575,0.10981089785662171,0.04372,0.00011,0.05451,0.13544576299892078,0.5081478342000257
0.15,0.041666666666666664,0.041666666666666664,0.4290356512856781,0.10716535578777062,0.03292,2e-05,0.06181,0.1562790963322541,0.5081478342000257
0.15,0.041666666666666664,0.08333333333333333,0.4184431846215204,0.10451981371891954,0.02387,0.0,0.06984,0.1771124296655874,0.5081478342000257
0.15,0.041666666666666664,0.125,0.4078507179573627,0.10187427165006845,0.01647,0.0,0.07939,0.19794576299892078,0.5081478342000257
0.15,0.041666666666666664,0.16666666666666666,0.397258251293205,0.09922872958121734,0.01065,0.0,0.08975,0.2187790963322541,0.5081478342000257
0.15,0.041666666666666664,0.20833333333333331,0.38666578462904744,0.09658318751236626,0.00648,0.0,0.101,0.23961242966558743,0.5081478342000257
0.15,0.041666666666666664,0.25,0.37607331796488974,0.09393764544351517,0.00389,0.0,0.11506,0.26044576299892075,0.5081478342000257
0.15,0.041666666666666664,0.29166666666666663,0.36548085130073205,0.09129210337466408,0.00228,0.0,0.13103,0.28127909633225406,0.5081478342000257
0.15,0.041666666666666664,0.3333333333333333,0.35488838463657435,0.08864656130581297,0.00125,0.0,0.14876,0.3021124296655874,0.5081478342000257
0.15,0.041666666666666664,0.375,0.34429591797241665,0.08600101923696188,0.0006,0.0,0.16937,0.32294576299892075,0.5081478342000257
0.15,0.041666666666666664,0.41666666666666663,0.33370345130825896,0.08335547716811081,0.00023,0.0,0.19303,0.3437790963322541,0.5081478342000257
0.15,0.041666666666666664,0.4583333333333333,0.3231109846441013,0.08070993509925971,6e-05,0.0,0.2197,0.3646124296655874,0.5081478342000257
0.15,0.041666666666666664,0.5,0.3125185179799436,0.07806439303040862,0.0,0.0,0.25025,0.38544576299892075,0.5081478342000257
0.15,0.041666666666666664,0.5416666666666666,0.3019260513157859,0.07541885096155752,0.0,0.0,0.28462,0.4062790963322541,0.5081478342000257
0.15,0.041666666666666664,0.5833333333333333,0.2913335846516283,0.07277330889270643,0.0,0.0,0.32411,0.4271124296655874,0.5081478342000257
0.15,0.041666666666666664,0.625,0.2807411179874706,0.07012776682385534,0.0,0.0,0.36751,0.44794576299892075,0.5081478342000257
0.15,0.041666666666666664,0.6666666666666666,0.27014865132331295,0.06748222475500425,0.0,0.0,0.41442,0.4687790963322541,0.5081478342000257
0.15,0.041666666666666664,0.7083333333333333,0.25955618465915525,0.06483668268615317,0.0,0.0,0.46716,0.4896124296655874,0.5081478342000257
0.15,0.041666666666666664,0.75,0.24896371799499756,0.06219114061730206,0.0,0.0,0.52435,0.5104457629989209,0.5081478342000257
0.15,0.041666666666666664,0.7916666666666666,0.2383712513308399,0.05954559854845098,0.0,0.0,0.58321,0.5312790963322541,0.5081478342000257
0.15,0.041666666666666664,0.8333333333333333,0.22777878466668222,0.05690005647959989,0.0,0.0,0.64371,0.5521124296655874,0.5081478342000257
0.15,0.041666666666666664,0.875,0.21718631800252453,0.0542545144107488,0.0,0.0,0.70373,0.5729457629989207,0.5081478342000257
0.15,0.041666666666666664,0.9166666666666666,0.20659385133836683,0.0516089723418977,0.0,0.0,0.76122,0.5937790963322541,0.5081478342000257
0.15,0.041666666666666664,0.9583333333333333,0.1960013846742092,0.04896343027304662,0.0,0.0,0.81359,0.6146124296655874,0.5081478342000257
0.15,0.041666666666666664,1.0,0.1854089180100515,0.04631788820419552,0.0,0.0,0.8591,0.6354457629989207,0.5081478342000257
0.15,0.08333333333333333,0.0,0.4377214739502873,0.10933470028422851,0.04165,8e-05,0.05598,0.13919576299892075,0.5081478342000257
0.15,0.08333333333333333,0.041666666666666664,0.42712900728612974,0.10668915821537743,0.03129,0.0,0.06311,0.1600290963322541,0.5081478342000257
