interpretive_capacity,slope_pc_intervention,slope_sc_intervention,margin_intervention,slope_pc_expected_harm,slope_sc_expected_harm,margin_expected_harm
0.0,-0.2542191999397841,-0.04575945598916094,0.20845974395062317,-0.06349300965242617,-0.011428741737436663,0.05206426791498951
0.05,-0.2542191999397842,-0.04575945598916106,0.20845974395062314,-0.06349300965242613,-0.011428741737436668,0.052064267914989464
0.1,-0.25421919993978415,-0.04575945598916088,0.20845974395062328,-0.0634930096524261,-0.01142874173743671,0.052064267914989394
0.15000000000000002,-0.2542191999397841,-0.045759455989160924,0.20845974395062317,-0.06349300965242613,-0.011428741737436677,0.05206426791498946
0.2,-0.25421919993978415,-0.04575945598916101,0.20845974395062314,-0.06349300965242609,-0.01142874173743671,0.05206426791498938
0.25,-0.2542191999397841,-0.04575945598916096,0.20845974395062314,-0.06349300965242614,-0.011428741737436672,0.05206426791498947
0.30000000000000004,-0.25421919993978404,-0.045759455989161084,0.20845974395062294,-0.06349300965242613,-0.011428741737436684,0.05206426791498944
0.35000000000000003,-0.25421919993978404,-0.04575945598916105,0.208459743950623,-0.06349300965242619,-0.011428741737436644,0.05206426791498954
0.4,-0.2542191999397838,-0.04575945598916088,0.20845974395062294,-0.06349300965242614,-0.011428741737436693,0.05206426791498945
0.45,-0.254219199939784,-0.045759455989160966,0.208459743950623,-0.06349300965242616,-0.011428741737436687,0.05206426791498947
0.5,-0.25421919993978404,-0.04575945598916109,0.20845974395062294,-0.06349300965242613,-0.011428741737436687,0.05206426791498944
0.55,-0.25421919993978415,-0.04575945598916106,0.20845974395062308,-0.06349300965242613,-0.011428741737436668,0.052064267914989464
0.6000000000000001,-0.254219199939784,-0.04575945598916092,0.20845974395062306,-0.06349300965242616,-0.011428741737436675,0.052064267914989484
0.65,-0.25421919993978415,-0.045759455989160945,0.2084597439506232,-0.06349300965242617,-0.011428741737436708,0.052064267914989464
0.7000000000000001,-0.254219199939784,-0.045759455989160994,0.208459743950623,-0.06349300965242616,-0.011428741737436687,0.05206426791498947
0.75,-0.25421919993978404,-0.04575945598916098,0.20845974395062306,-0.06349300965242612,-0.011428741737436677,0.05206426791498944
0.8,-0.2542191999397841,-0.04575945598916109,0.208459743950623,-0.06349300965242613,-0.011428741737436687,0.05206426791498944
0.8500000000000001,-0.25421919993978404,-0.04575945598916107,0.20845974395062297,-0.06349300965242613,-0.01142874173743667,0.05206426791498946
0.9,-0.2542191999397841,-0.04575945598916105,0.20845974395062306,-0.06349300965242613,-0.011428741737436715,0.052064267914989415
0.9500000000000001,-0.2542191999397841,-0.045759455989161014,0.20845974395062308,-0.06349300965242617,-0.01142874173743671,0.052064267914989464
1.0,-0.2542191999397841,-0.04575945598916101,0.20845974395062308,-0.06349300965242613,-0.011428741737436687,0.05206426791498944
