variable,value,outcome,fraction
marker_clarity,1.0,PRESERVE,0.00102
marker_clarity,1.0,INVESTIGATE,0.0
marker_clarity,1.0,EXCAVATE,0.0
phenomenological_caution,0.0,AVOID,0.10825
phenomenological_caution,0.0,OBSERVE,0.63361
phenomenological_caution,0.0,PRESERVE,0.25319
phenomenological_caution,0.0,INVESTIGATE,0.00495
phenomenological_caution,0.0,EXCAVATE,0.0
phenomenological_caution,0.041666666666666664,AVOID,0.12309
phenomenological_caution,0.041666666666666664,OBSERVE,0.65419
phenomenological_caution,0.041666666666666664,PRESERVE,0.21975
phenomenological_caution,0.041666666666666664,INVESTIGATE,0.00297
phenomenological_caution,0.041666666666666664,EXCAVATE,0.0
phenomenological_caution,0.08333333333333333,AVOID,0.13976
phenomenological_caution,0.08333333333333333,OBSERVE,0.67173
phenomenological_caution,0.08333333333333333,PRESERVE,0.18681
phenomenological_caution,0.08333333333333333,INVESTIGATE,0.0017
phenomenological_caution,0.08333333333333333,EXCAVATE,0.0
phenomenological_caution,0.125,AVOID,0.15855
phenomenological_caution,0.125,OBSERVE,0.68448
phenomenological_caution,0.125,PRESERVE,0.15614
phenomenological_caution,0.125,INVESTIGATE,0.00083
phenomenological_caution,0.125,EXCAVATE,0.0
phenomenological_caution,0.16666666666666666,AVOID,0.18079
phenomenological_caution,0.16666666666666666,OBSERVE,0.69145
phenomenological_caution,0.16666666666666666,PRESERVE,0.12739
phenomenological_caution,0.16666666666666666,INVESTIGATE,0.00037
phenomenological_caution,0.16666666666666666,EXCAVATE,0.0
phenomenological_caution,0.20833333333333331,AVOID,0.20613
phenomenological_caution,0.20833333333333331,OBSERVE,0.6932
phenomenological_caution,0.20833333333333331,PRESERVE,0.10055
phenomenological_caution,0.20833333333333331,INVESTIGATE,0.00012
phenomenological_caution,0.20833333333333331,EXCAVATE,0.0
phenomenological_caution,0.25,AVOID,0.23435
phenomenological_caution,0.25,OBSERVE,0.68821
phenomenological_caution,0.25,PRESERVE,0.07743
phenomenological_caution,0.25,INVESTIGATE,1e-05
phenomenological_caution,0.25,EXCAVATE,0.0
phenomenological_caution,0.29166666666666663,AVOID,0.26718
phenomenological_caution,0.29166666666666663,OBSERVE,0.67556
phenomenological_caution,0.29166666666666663,PRESERVE,0.05726
phenomenological_caution,0.29166666666666663,INVESTIGATE,0.0
phenomenological_caution,0.29166666666666663,EXCAVATE,0.0
phenomenological_caution,0.3333333333333333,AVOID,0.30432
phenomenological_caution,0.3333333333333333,OBSERVE,0.65504
phenomenological_caution,0.3333333333333333,PRESERVE,0.04064
phenomenological_caution,0.3333333333333333,INVESTIGATE,0.0
phenomenological_caution,0.3333333333333333,EXCAVATE,0.0
phenomenological_caution,0.375,AVOID,0.3463
phenomenological_caution,0.375,OBSERVE,0.62647
phenomenological_caution,0.375,PRESERVE,0.02723
phenomenological_caution,0.375,INVESTIGATE,0.0
