metric,estimate,ci_lo,ci_hi
expected_harm,0.06348712069875104,0.06313481544192706,0.06382875778706106
encounter_rate,0.5004125670548103,0.4991626335673872,0.5016934898791996
intervention_rate,0.00099,0.00080811619680416,0.001190351452546551
excavation_rate,0.0,0.0,0.0
avoidance_rate,0.5315,0.5283165665122257,0.5346221705954622
preservation_rate,0.05481,0.05343311660454784,0.0561595240305122
mean_hesitation_proxy,0.5007066357137215,0.49959270999008537,0.5017358968684628
mystery_to_curiosity_index,0.004180018283417557,-0.0021083112902293664,0.010286343676671281
prestige_inversion_index,-0.6596836413359269,-0.6628185377481729,-0.6564174809442475
behavioral_degradation_gradient,0.02731678707077852,0.02604130296923259,0.02853366742790014
