epoch,train_loss,val_loss,train_acc,val_acc,l2_norm
20,2.5456697940826416,4.307774543762207,57.70833492279053,0.0,62.830153398220034
40,1.4926022291183472,5.734068870544434,95.6250011920929,0.0,63.01390717371701
60,0.5618520379066467,7.29403018951416,100.0,0.0,63.53330348278026
80,0.173629030585289,8.405266761779785,100.0,0.0,63.82760064242596
100,0.08136563003063202,8.87191104888916,100.0,0.0,63.57045367284529
120,0.055215876549482346,8.996713638305664,100.0,0.0,62.97821166641113
140,0.04432133957743645,8.992521286010742,100.0,0.0,62.261938907440026
160,0.0382315069437027,8.944032669067383,100.0,0.0,61.509675941956424
180,0.03417334333062172,8.878708839416504,100.0,0.0,60.75290279380018
200,0.03119550831615925,8.805749893188477,100.0,0.0,60.00402386023715
220,0.028879225254058838,8.730048179626465,100.0,0.0,59.26857400053498
240,0.026997150853276253,8.653873443603516,100.0,0.0,58.54936526771306
260,0.025440245866775513,8.578326225280762,100.0,0.0,57.847801208778556
280,0.024120012298226357,8.50543212890625,100.0,0.0,57.16521447942561
300,0.022983167320489883,8.435009002685547,100.0,0.0,56.501943986955695
320,0.021983439102768898,8.36612319946289,100.0,0.0,55.85805774217519
340,0.02108914963901043,8.299229621887207,100.0,0.0,55.23366590414672
360,0.020277904346585274,8.234692573547363,100.0,0.0,54.62872681968761
380,0.01954306848347187,8.172093391418457,100.0,0.0,54.04302101776379
400,0.018869107589125633,8.111180305480957,100.0,0.0,53.47649647590403
420,0.01824665442109108,8.051237106323242,100.0,0.0,52.92872756536623
440,0.017677517607808113,7.992184638977051,100.0,0.0,52.39942320149836
460,0.01715019717812538,7.9353837966918945,100.0,0.0,51.88828674619255
480,0.016654277220368385,7.879655361175537,100.0,0.0,51.39520258122683
500,0.016188884153962135,7.824756622314453,100.0,0.0,50.91972461590801
520,0.015743525698781013,7.770972728729248,100.0,0.0,50.461303294943484
540,0.015314234420657158,7.718458652496338,100.0,0.0,50.01932289097694
560,0.014905496500432491,7.666630744934082,100.0,0.0,49.593329622678304
580,0.01452128030359745,7.616282939910889,100.0,0.0,49.18271034428213
600,0.014161146245896816,7.567649841308594,100.0,0.0,48.78724767291878
620,0.013820539228618145,7.520838260650635,100.0,0.0,48.40661239613314
640,0.013501393608748913,7.4754133224487305,100.0,0.0,48.04044827261861
660,0.013197420164942741,7.430585861206055,100.0,0.0,47.68872558113178
